scheme,data_size,data_label,repeat,elapsed_us,throughput_mbps,speedup
default_loop,1024,1 KB,2000,88872,21.977,1.0000
unrolled,1024,1 KB,2000,78550,24.865,1.1314
reduced_dep,1024,1 KB,2000,88567,22.053,1.0034
xbox,1024,1 KB,2000,68806,28.386,1.2916
xbox_merged,1024,1 KB,2000,53712,36.363,1.6546
zbb_default,1024,1 KB,2000,78261,24.957,1.1356
zbb_xbox,1024,1 KB,2000,54185,36.045,1.6402
default_loop,16384,16 KB,200,142552,21.922,1.0000
unrolled,16384,16 KB,200,126614,24.681,1.1259
reduced_dep,16384,16 KB,200,142192,21.977,1.0025
xbox,16384,16 KB,200,111052,28.140,1.2837
xbox_merged,16384,16 KB,200,86454,36.146,1.6489
zbb_default,16384,16 KB,200,125968,24.808,1.1317
zbb_xbox,16384,16 KB,200,87596,35.675,1.6274
default_loop,65536,64 KB,50,142557,21.921,1.0000
unrolled,65536,64 KB,50,126651,24.674,1.1256
reduced_dep,65536,64 KB,50,142451,21.937,1.0007
xbox,65536,64 KB,50,110926,28.172,1.2852
xbox_merged,65536,64 KB,50,86409,36.165,1.6498
zbb_default,65536,64 KB,50,126071,24.788,1.1308
zbb_xbox,65536,64 KB,50,87467,35.728,1.6298
default_loop,262144,256 KB,20,228349,21.896,1.0000
unrolled,262144,256 KB,20,203234,24.602,1.1236
reduced_dep,262144,256 KB,20,228323,21.899,1.0001
xbox,262144,256 KB,20,178343,28.036,1.2804
xbox_merged,262144,256 KB,20,140332,35.630,1.6272
zbb_default,262144,256 KB,20,202310,24.715,1.1287
zbb_xbox,262144,256 KB,20,142556,35.074,1.6018
default_loop,1048576,1 MB,5,229686,21.769,1.0000
unrolled,1048576,1 MB,5,204518,24.448,1.1231
reduced_dep,1048576,1 MB,5,229666,21.771,1.0001
xbox,1048576,1 MB,5,180260,27.738,1.2742
xbox_merged,1048576,1 MB,5,142966,34.973,1.6066
zbb_default,1048576,1 MB,5,203762,24.538,1.1272
zbb_xbox,1048576,1 MB,5,145136,34.450,1.5826
default_loop,4194304,4 MB,2,371284,21.547,1.0000
unrolled,4194304,4 MB,2,331835,24.108,1.1189
reduced_dep,4194304,4 MB,2,371300,21.546,1.0000
xbox,4194304,4 MB,2,293022,27.302,1.2671
xbox_merged,4194304,4 MB,2,235908,33.912,1.5739
zbb_default,4194304,4 MB,2,330412,24.212,1.1237
zbb_xbox,4194304,4 MB,2,238518,33.540,1.5566
default_loop,16777216,16 MB,1,754530,21.205,1.0000
unrolled,16777216,16 MB,1,674795,23.711,1.1182
reduced_dep,16777216,16 MB,1,753590,21.232,1.0012
xbox,16777216,16 MB,1,600166,26.659,1.2572
xbox_merged,16777216,16 MB,1,493550,32.418,1.5288
zbb_default,16777216,16 MB,1,671585,23.824,1.1235
zbb_xbox,16777216,16 MB,1,498931,32.069,1.5123
