scheme,data_size,data_label,repeat,elapsed_us,throughput_mbps,speedup
default_loop,1024,1 KB,2000,88841,21.985,1.0000
unrolled,1024,1 KB,2000,78583,24.854,1.1305
reduced_dep,1024,1 KB,2000,88687,22.023,1.0017
xbox,1024,1 KB,2000,68904,28.346,1.2893
xbox_merged,1024,1 KB,2000,53699,36.372,1.6544
zbb_default,1024,1 KB,2000,78315,24.939,1.1344
zbb_xbox,1024,1 KB,2000,54234,36.013,1.6381
default_loop,16384,16 KB,200,142796,21.884,1.0000
unrolled,16384,16 KB,200,126458,24.712,1.1292
reduced_dep,16384,16 KB,200,142336,21.955,1.0032
xbox,16384,16 KB,200,110931,28.171,1.2873
xbox_merged,16384,16 KB,200,86501,36.127,1.6508
zbb_default,16384,16 KB,200,126095,24.783,1.1324
zbb_xbox,16384,16 KB,200,87517,35.707,1.6316
default_loop,65536,64 KB,50,143178,21.826,1.0000
unrolled,65536,64 KB,50,127542,24.502,1.1226
reduced_dep,65536,64 KB,50,142332,21.956,1.0059
xbox,65536,64 KB,50,111035,28.144,1.2895
xbox_merged,65536,64 KB,50,86475,36.138,1.6557
zbb_default,65536,64 KB,50,126130,24.776,1.1352
zbb_xbox,65536,64 KB,50,87639,35.658,1.6337
default_loop,262144,256 KB,20,228803,21.853,1.0000
unrolled,262144,256 KB,20,203336,24.590,1.1252
reduced_dep,262144,256 KB,20,228606,21.872,1.0009
xbox,262144,256 KB,20,178773,27.968,1.2799
xbox_merged,262144,256 KB,20,140014,35.711,1.6341
zbb_default,262144,256 KB,20,202658,24.672,1.1290
zbb_xbox,262144,256 KB,20,142426,35.106,1.6065
default_loop,1048576,1 MB,5,229550,21.782,1.0000
unrolled,1048576,1 MB,5,204633,24.434,1.1218
reduced_dep,1048576,1 MB,5,229899,21.749,0.9985
xbox,1048576,1 MB,5,180639,27.680,1.2708
xbox_merged,1048576,1 MB,5,142883,34.994,1.6066
zbb_default,1048576,1 MB,5,203861,24.527,1.1260
zbb_xbox,1048576,1 MB,5,144758,34.540,1.5858
default_loop,4194304,4 MB,2,370999,21.563,1.0000
unrolled,4194304,4 MB,2,331894,24.104,1.1178
reduced_dep,4194304,4 MB,2,371496,21.535,0.9987
xbox,4194304,4 MB,2,293106,27.294,1.2658
xbox_merged,4194304,4 MB,2,236653,33.805,1.5677
zbb_default,4194304,4 MB,2,329914,24.249,1.1245
zbb_xbox,4194304,4 MB,2,239037,33.468,1.5521
default_loop,16777216,16 MB,1,753325,21.239,1.0000
unrolled,16777216,16 MB,1,675472,23.687,1.1153
reduced_dep,16777216,16 MB,1,753503,21.234,0.9998
xbox,16777216,16 MB,1,600482,26.645,1.2545
xbox_merged,16777216,16 MB,1,493941,32.393,1.5251
zbb_default,16777216,16 MB,1,671899,23.813,1.1212
zbb_xbox,16777216,16 MB,1,500540,31.965,1.5050
